APX3 LTI65 0.432
APX3 RD29A 0.571
APX3 HSFA6A 0.4
APX3 ZAT12 0.597
APX3 COR15A 0.439
APX3 SRK2E 0.4
APX3 DREB1A 0.4
APX3 NCED3 0.41
APX3 ZEP 0.505
APX3 HSFA3 0.527
APX3 ZAT10 0.54
APX3 CP1 0.602
APX3 NHX1 0.608
APX3 CIPK24 0.654
APX3 HKT1 0.661
APX3 BZIP8 0.719
APX3 NHX7 0.722
APX3 HSP70-4 0.802
ARF7 DREB2A 0.462
ARF7 MYC2 0.482
ARF7 ARP5 0.809
ARF7 RIN1 0.856
ARP5 VIP6 0.41
ARP5 SWC2 0.54
ARP5 DREB2A 0.638
ARP5 HTR4 0.696
ARP5 HTR2 0.696
ARP5 F24B9.25 0.611
ARP5 HTR12 0.695
ARP5 Q8RWS0_ARATH 0.999
ARP5 SWC4 0.54
ARP5 TTL1 0.407
ARP5 T5J17.190 0.667
ARP5 F16J13.140 0.667
ARP5 HMGB6 0.684
ARP5 HMGB11 0.684
ARP5 MGH3 0.697
ARP5 HTR11 0.697
ARP5 F10A5.19 0.697
ARP5 T6J4.12 0.697
ARP5 T24H18.80 0.697
ARP5 OFUT23 0.809
ARP5 HMGB15 0.929
ARP5 HMGB9 0.931
ARP5 HMGB10 0.963
ARP5 K9I9.20 0.979
ARP5 T16K5.180 0.979
ARP5 F16L2_40 0.999
ARP5 RIN1 0.999
ATHB-6 DREB2A 0.431
ATHB-6 PP2CA 0.516
ATHB-6 BPM2 0.54
ATHB-6 KEG 0.573
ATHB-7 DREB2A 0.493
ATHB-7 GOLS2 0.423
ATHB-7 NAC019 0.511
ATHB-7 PP2CA 0.547
ATHB-7 LTI65 0.561
AZF2 SYD 0.506
AZF2 DREB2A 0.51
AZF2 HSFA6A 0.408
AZF2 MYC2 0.424
AZF2 ZAT7 0.405
AZF2 WRKY33 0.43
AZF2 MYB15 0.571
AZF2 DREB1A 0.459
AZF2 WRKY40 0.452
BPM2 DREB2A 0.5
BPM2 DRIP1 0.416
BPM2 CUL3A 0.92
BZIP28 NFYB3 0.963
BZIP28 HSFA2 0.693
BZIP28 HSFA1B 0.603
BZIP28 DREB2A 0.666
BZIP28 HSFA1A 0.544
BZIP28 F24B9.25 0.63
BZIP28 NFYC10 0.405
BZIP28 HSFA3 0.475
BZIP28 HDA9 0.516
BZIP28 HSFA5 0.411
BZIP28 HSFB1 0.664
BZIP28 BZIP8 0.895
BZIP28 HDA7 0.516
BZIP28 HDA6 0.517
BZIP28 HSP70-4 0.781
BZIP28 MBF1C 0.679
BZIP28 NAC062 0.825
BZIP28 HSFB2A 0.617
BZIP28 NAC017 0.506
BZIP28 HSFA7A 0.571
BZIP28 HSFB2B 0.588
BZIP8 ZAT6 0.549
BZIP8 GPX6 0.663
BZIP8 PYR1 0.794
BZIP8 HSFA2 0.546
BZIP8 DREB2A 0.794
BZIP8 CML10 0.785
BZIP8 COR47 0.543
BZIP8 DET1 0.414
BZIP8 PP2CA 0.791
BZIP8 SUMO1 0.507
BZIP8 CAM7 0.79
BZIP8 LTI65 0.792
BZIP8 RD22 0.779
BZIP8 MYB96 0.633
BZIP8 MYC2 0.795
BZIP8 COR15A 0.633
BZIP8 SIZ1 0.406
BZIP8 NHX1 0.408
BZIP8 HKT1 0.576
BZIP8 HSFA3 0.513
BZIP8 NAC102 0.431
BZIP8 RCD1 0.489
BZIP8 WRKY33 0.719
BZIP8 WRKY18 0.637
BZIP8 NAC019 0.708
BZIP8 HSFA6b 0.4
BZIP8 NAC062 0.597
